Sentence	True	Predicted
karoge	O	O

?	O	O

hhmm	O	O

		

@A_UoW	O	O

lolol	O	O

aage	O	O

badho	O	O

hum	O	O

tumhaare	O	O

saath	O	O

nhi	O	O

h	O	O

		

@drdheerajjain	O	O

sir	O	O

,	O	O

konsi	O	O

flop	O	O

movie	O	O

he	O	O

ye	O	O

?	O	O

@MhtRajeev	O	O

		

@RanaAyyub	O	O

but	O	O

aunty	O	O

ji	O	O

still	O	O

tweeting	O	O

non	O	O

sense	O	O

!!!	O	O

		

Mahashivratri	O	O

ki	O	O

hardik	O	O

mangalkamnayen	O	O

.	O	O

JAI	O	O

SHIVSHANKAR	B-PERSON	O

[	O	O

D	B-PERSON	O

.	I-PERSON	O

S	I-PERSON	O

.	I-PERSON	O

Rai	I-PERSON	O

]	O	O

		

Ye	O	O

to	O	O

baizti	O	O

he	O	O

ho	O	O

gae	O	O

Dhawan	B-PERSON	O

#IndvsSA	O	O

		

Mustafizur	B-PERSON	O

Rahman	I-PERSON	O

is	O	O

an	O	O

another	O	O

level	O	O

bowler	O	O

.	O	O

He	O	O

is	O	O

in	O	O

the	O	O

league	O	O

of	O	O

McGrath	B-PERSON	B-ORGANISATION

&	O	O

Akram	B-PERSON	O

.	O	O

#LegendInMaking	O	O

#NZvsBan	O	O

#IndvsAus	O	O

		

@sardesairajdeep	O	O

@sagarikaghose	O	O

@IndiaToday	O	O

@aajtak	O	O

haramzada	O	O

meets	O	O

harami	O	O

of	O	O

JNU	B-ORGANISATION	O

		

RT	O	O

@dheeruinsan	O	O

:	O	O

@Gurmeetramrahim	O	O

#StillMSG2Everywhere	O	O

dhan	O	O

dhan	O	O

satguru	B-PERSON	O

tera	O	O

he	O	O

aasra	O	O

Gud	O	O

morning	O	O

Guruji	O	B-PLACE

https://t.co/sYZuZfUPbs	O	O

		

RT	O	O

@TimesNow	O	O

:	O	O

Congress	B-ORGANISATION	O

reacts	O	O

to	O	O

Suresh	B-PERSON	B-PERSON

Prabhu's	I-PERSON	I-PERSON

maiden	O	O

#RailBudget2015	O	O

,	O	O

says	O	O

,	O	O

""""	O	O

UPA	B-ORGANISATION	O

policies	O	O

repackaged	O	O

""""	O	O

		

RT	O	O

@MosesSapir	O	O

:	O	O

Amitabh	B-PERSON	O

ji	O	O

&	O	O

Yash	B-PERSON	O

Chopra	I-PERSON	O

ji	O	O

during	O	O

a	O	O

shoot	O	O

for	O	O

""""	O	O

Kaala	O	B-PERSON

Pathaar	O	I-PERSON

""""	O	O

@SrBachchan	O	O

http://t.co/KUNbE8kU9R	O	O

		

'	O	O

Vaaimai	O	O

'	O	O

Audio	O	B-PERSON

Launch	O	I-PERSON

|	O	O

Bhagyaraj	B-PERSON	O

|	O	O

Poornima	B-PERSON	O

|	O	O

Pandiarajan	B-PERSON	O

|	O	O

Ramki	B-PERSON	O

-	O	O

TamilTwin	O	O

http://t.co/hFP1X7bcWt	O	O

		

@YouTeeee	O	O

bhai	O	O

yeh	O	O

to	O	O

hillarious	O	O

ho	O	O

gea	O	O

:-D	O	O

		

RT	O	O

@ESPNcricinfo	O	O

:	O	O

ICYMI	O	O

:	O	O

It	O	O

was	O	O

a	O	O

Virat	B-PERSON	B-PERSON

Kohli	I-PERSON	I-PERSON

special	O	O

in	O	O

Mohali	B-PLACE	O

Match	O	O

report	O	O

:	O	O

https://t.co/iUH7WYOWW0	O	O

#INDvAUS	O	O

#WT20	O	O

https://t.co/TbkWLU75	O	O

		

Kannada	O	O

Movie	O	O

Kotugondu	O	O

Love	O	O

STORY	O	O

Review	O	O

http://t.co/eDE965kPod	O	O

#WIvsZIM	O	O

#Gayle	O	O

#WhereIsRahul	O	O

#Elitei20	O	O

		

RT	O	O

@TCNLive	O	O

:	O	O

Is	O	O

Shehla	B-PERSON	O

Rashid	I-PERSON	O

Muslim	O	O

?	O	O

Muslim	O	O

Discussions	O	O

https://t.co/DUlcQ0U25L	O	O

		

@Gurmeetramrahim	O	O

#MustWatchMSG	O	O

RUBRURATRI	O	O

TWTRATRI	O	O

N	O	O

ZORON	O	O

CE	O	O

CHL	O	O

RAHI	O	O

MSGRATRI	O	O

K	O	O

SATH	O	O

2	O	O

AJ	O	O

HM	O	O

SBHMAHASHIVRATRI	O	O

MNANE	O	O

JA	O	O

RAHE	O	O

HAIN	O	O

		

RT	O	O

@_Rashi__	O	O

:	O	O

@amazonIN	O	O

Mosquito	O	O

nets	O	O

#10KeBaadKarenge	O	O

,	O	O

till	O	O

then	O	O

traditional	O	O

mosquito	O	O

killing	O	O

http://t.co/1l1snIEi5U	O	O

		

@narendramodi	O	O

Modi	B-PERSON	O

Sir	O	O

Apko	O	O

b	O	O

Mahashivratri	O	O

ki	O	O

Dheron	O	O

Shubhkamnayein	O	O

,	O	O

Bhagwan	O	O

Shiv	B-PERSON	O

apki	O	O

Umr	O	O

Lmbi	O	O

kre	O	O

and	O	O

Ap	O	O

aise	O	O

hi	O	O

desh	O	O

ki	O	O

sewa	O	O

karte	O	O

rahe	O	O

		

Pappu	B-PERSON	O

left	O	O

India	B-PLACE	O

on	O	O

17th	O	O

Feb	O	O

for	O	O

Bang-Kok	B-PLACE	O

via	O	O

#Thai	O	O

Airways	O	O

.	O	O

Uske	O	O

baad	O	O

kaha	O	O

gaye	O	O

pata	O	O

nahi	O	O

.	O	O

Waah	O	O

re	O	O

rangeele	O	O

Rahul	B-PERSON	O

.	O	O

#RahulOnLeave	O	O

		

@ImVeeDee	O	O

yuhi	O	O

kat	O	O

jaayega	O	O

safar	O	O

sath	O	O

tweetne	O	O

se	O	O

,	O	O

ki	O	O

manzil	O	O

aayegi	O	O

nazar	O	O

sath	O	O

tweetne	O	O

se	O	O

.	O	O

Hum	O	O

raahi	O	O

Twitter	B-ORGANISATION	O

ke	O	O

@vichupedia	O	O

@shikhakotak	O	O

		

RT	O	O

@nickhunterr	O	O

:	O	O

The	O	O

speed	O	O

of	O	O

""""	O	O

Bhai	O	O

jaldi	O	O

call	O	O

kar	O	O

balance	O	O

nahi	O	O

hai	O	O

""""	O	O

is	O	O

faster	O	O

than	O	O

""""	O	O

Mutualfundsaresubjecttomarketriskspleasereadtheofferdo	O	O

		

RT	O	O

@coolfunnytshirt	O	O

:	O	O

Mithunda	B-PERSON	O

could	O	O

sue	O	O

Kapil	B-PERSON	O

Sharma	I-PERSON	O

for	O	O

copyright	O	O

infringement	O	O

of	O	O

'	O	O

babaji	O	O

ka	O	O

thullu	O	O

'	O	O

http://t.co/pmeMsZVtji	O	O

		

@atletidekolkata	O	O

XI	O	O

:	O	O

Calatayud	B-PERSON	O

,	O	O

Mohanraj	B-PERSON	B-PERSON

,	O	O

Tiri	B-PERSON	O

,	O	O

Arnab	B-PERSON	B-PERSON

,	O	O

Hume	B-PERSON	O

,	O	O

Gavilan	B-PERSON	O

,	O	O

Borja	B-PERSON	O

,	O	O

Anto	B-PERSON	B-PERSON

,	O	O

Arata	B-PERSON	B-PERSON

,	O	O

Rafique	B-PERSON	O

,	O	O

Doutie	B-PERSON	O

#HeroISL	O	O

#ATKvMUM	O	O

		

Sabhi	O	O

log	O	O

free	O	O

WiFi	O	O

kar	O	O

rahe	O	O

he	O	O

Abhi	O	O

usme	O	O

bhi	O	O

quota	O	O

hoga	O	O

kuch	O	O

dino	O	O

http://t.co/Mn6AVQPIFt	O	O

unlimited	O	O

obc	O	O

1gb	O	O

general	O	O

100mb	O	O

#RailBudget2015	O	O

		

RT	O	O

@MrsGandhi	O	O

:	O	O

Minister	O	O

@nitin_gadkari	O	O

stands	O	O

in	O	O

queue	O	O

to	O	O

board	O	O

Nagpur-Delhi	B-PLACE	O

flight	O	O

like	O	O

any	O	O

other	O	O

ordinary	O	O

citizen	O	O

.	O	O

True	O	O

Aam	O	O

Aadmi	O	O

!	O	O

http	O	O

:/	O	O

		

MerryXmas	O	O

From	O	O

TeamShivaay	O	O

ae	O	O

aa	O	O

ye	O	O

yo	O	O

aa	O	O

		

@BCCI	O	O

:	O	O

@nishrana	O	O

Nishant	B-PERSON	O

click	O	O

here	O	O

http://t.co/5DZqm80G66	O	O

for	O	O

your	O	O

Sachin	B-PERSON	B-PERSON

Tendulkar	I-PERSON	I-PERSON

personalized	O	O

digital	O	O

autograph	O	O

.	O	O

@AnirudhChaudhry	O	O

		

RT	O	O

@TamalDas8	O	O

:	O	O

PIB_India	B-ORGANISATION	B-ORGANISATION

#UHF	O	O

RT	O	O

MIB_India	B-ORGANISATION	O

:	O	O

Initiatives	O	O

for	O	O

Skill	O	B-PERSON

Development-	O	I-PERSON

sureshpprabhu	B-PERSON	O

#RailBudget2015	O	O

#	O	O

http://t.co/QzVzQnaZNe	O	O

		

@HoeZaay	O	O

#MisheardLyrics	O	O

Tanu	B-PERSON	O

Weds	O	O

Manu	B-PERSON	O

Rangrez	O	O

mere	O	O

...	O	O

Mera	O	O

rahbar	O	O

tu	O	O

Mera	O	O

sarvar(Server	O	O

)	O	O

tu	O	O

Mera	O	O

akhbar	B-PERSON	O

tu	O	O

...	O	O

		

@ArvindKejriwal	O	O

ke	O	O

punjab	B-PLACE	O

jate	O	O

hi	O	O

sahido	O	O

par	O	O

rajniti	O	O

suru	O	O

.	O	O

Aap	O	O

aayegi	O	O

to	O	O

sahido	O	O

ko	O	O

1Cr	O	O

milege	O	O

.	O	O

Low	O	O

politics	O	O

#kejri1CrOffer	O	O

#BecauseOfBabri	O	O

		

RT	O	O

@SaranshGoila	O	O

:	O	O

Keeping	O	O

it	O	O

simple	O	O

today	O	O

.	O	O

Saffron	O	O

&	O	O

carrot	O	O

pulao	O	O

+	O	O

ghee	O	O

rice	O	O

+	O	O

Palak	O	O

tawa	O	O

rice	O	O

.	O	O

Just	O	O

to	O	O

celebrate	O	O

our	O	O

republic	O	O

day	O	O

.	O	O

https	O	O

:	O	O

		

Happy	O	O

Mahashivratri	O	O

....	O	O

Omm	O	O

Namah	O	O

Shivaya	O	O

...	O	O

http://t.co/RCxmaN9C7d	O	O

		

RT	O	O

@SharmiliChudail	O	O

:	O	O

Hoshwalon	O	O

ko	O	O

khabar	O	O

kya	O	O

...	O	O

Anaesthesia	O	O

kya	O	O

cheez	O	O

hai	O	O

!	O	O

		

#	O	O

#JaiShiv	O	O

#BOLBUM	O	O

#MahaShivratri	O	O

ke	O	O

is	O	O

utsav	O	O

par	O	O

bhagwan	O	O

Shiv	B-PERSON	O

aur	O	O

maa	O	O

Shakti	B-PERSON	O

ki	O	O

kripa	O	O

aap	O	O

logon	O	O

pe	O	O

sadaiv	O	O

bani	O	O

rahe	O	O

		

#24	O	O

-	O	O

Telugu	O	O

Movie	O	O

Theatrical	O	O

Trailer	O	O

|	O	O

Suriya	B-PERSON	O

,	O	O

Samantha	B-PERSON	O

,	O	O

Nithya	B-PERSON	O

|	O	O

A.R	B-PERSON	O

Rahman	I-PERSON	O

https://t.co/K6PtXsFwcP	O	O

via	O	O

@YouTube	O	O

		

RT	O	O

@shubhansh1504	O	O

:	O	O

Chanaa	O	O

ve	O	O

ghar	O	O

aaja	O	O

ve	O	O

,	O	O

Cholaa	O	O

ve	O	O

ghar	O	O

aaja	O	O

ve	O	O

....	O	O

		

RT	O	O

@deep_anchor	O	O

:	O	O

This	O	O

is	O	O

a	O	O

wonderful	O	O

Baba	O	O

!	O	O

Meet	O	O

'	O	O

#Biryani	O	O

Baba	O	O

'	O	O

The	O	O

Man	O	O

Who	O	O

Has	O	O

Fed	O	O

More	O	O

Than	O	O

One	O	O

Crore	O	O

Poor	O	O

People	O	O

.	O	O

https://t.co/WcTQICtntj	O	O

		

RT	O	O

@TheDeccanHerald	O	O

:	O	O

Good	O	O

news	O	O

soon	O	O

on	O	O

#OROP	O	O

:	O	O

Manohar	B-PERSON	B-PERSON

Parrikar	I-PERSON	I-PERSON

http://t.co/3CUraBihWr	O	O

http://t.co/NtirfTeswv	O	O

		

RT	O	O

@mkvenu1	O	O

:	O	O

No	O	O

sedition	O	O

here	O	O

?	O	O

Hindu	B-ORGANISATION	O

Mahasabha	I-ORGANISATION	O

Marks	O	O

Day	O	O

Mahatma	B-PERSON	O

Gandhi's	I-PERSON	O

Killer	O	O

Nathuram	B-PERSON	O

Godse	I-PERSON	O

Was	O	O

Hanged	O	O

https://t.co/RUlspJBu6Y	O	O

via	O	O

@Huf	O	O

		

Swatch	O	O

Bharat	B-PLACE	O

abhiyan	O	O

on	O	O

..	O	O

Isis	B-ORGANISATION	O

jehadis	O	O

getting	O	O

torn	O	O

apart	O	O

and	O	O

dumped	O	O

...	O	O

Ajit	B-PERSON	O

doval	I-PERSON	O

u	O	O

master	O	O

class	O	O

.	O	O

Jai	O	B-PERSON

Hind	O	I-PERSON

.	O	O

#IndiaFightsISIS	O	O

		

#MahaShivratri	O	O

Celebrations	O	O

at	O	O

Brahma	B-PERSON	O

Kumaris	I-PERSON	O

shanti	B-PLACE	O

sarovar	I-PLACE	O

Moderate	O	O

#traffic	O	O

at	O	O

Gachibowli	B-PLACE	O

@iamKavithaRao	O	O

http://t.co/4wnCy8tF7g	O	O

		

Behtareen	O	B-PERSON

Fielding	O	I-PERSON

....	O	O

Yaar	O	O

Raina	B-PERSON	O

@ImRaina	O	O

..	O	O

pyar	O	O

se	O	O

out	O	O

tha	O	O

...	O	O

bhai	O	O

...	O	O

comon	O	O

boyz	O	O

..	O	O

#IndvsSA	O	O

		

RT	O	O

@rajneeshjindal	O	O

:	O	O

@Gurmeetramrahim	O	O

#BlockBusterMSG	O	O

PitaJi	O	O

,	O	O

Aap	O	O

Ko	O	O

Bhi	O	O

Mahashivratri	O	O

ki	O	O

Lakh	O	O

Crore	O	O

Badhai	O	O

,	O	O

Thank	O	O

You	O	O

PitaJi	O	O

,	O	O

Hame	O	O

Apni	O	O

Sha	O	O

		

Rest	O	O

in	O	O

Peace	O	B-PLACE

Lance	B-PERSON	I-PLACE

Nayak	I-PERSON	I-PLACE

Hanumanthappa	I-PERSON	I-PLACE

.	O	O

Salute	O	O

		

Wtf	O	O

..	O	O

yeh	O	O

kaisi	O	O

fielding	O	O

hai	O	O

...	O	O

#IndvsSA	O	O

		

RT	O	O

@Tapash333	O	O

:	O	O

#EhsaanFaramos	O	O

Jiski	O	O

wajase	O	O

cricket	O	O

khelrahahe	O	O

unhi	O	O

ke	O	O

against	O	O

hai	O	O

.	O	O

Warna	O	O

Paki	O	O

grnd	O	O

mein	O	O

canten	O	O

kholke	O	O

baithta	O	O

#WT20	O	O

https	O	O

:/	O	O

		

Villages	O	O

Our	O	O

Priority	O	O

,	O	O

PM	O	O

Modi	B-PERSON	O

Says	O	O

On	O	O

Panchayati	O	O

Raj	O	O

Day	O	O

https://t.co/DDr48uwpoo	O	O

via	O	O

NMApp	O	O

		

@IYC	O	O

@OfficeOfRG	O	O

@INCIndia	O	O

Aur	O	O

ye	O	O

nahi	O	O

bataya	O	O

RG	B-PERSON	O

holiday	O	O

mana	O	O

rahe	O	O

hai	O	O

?	O	O

Sharm	O	O

to	O	O

#Congress	O	O

ko	O	O

karna	O	O

chahiye	O	O

ki	O	O

#PathankotAttack	O	O

me	O	O

rajniti	O	O

??	O	O

		

RT	O	O

@TweetsBySehar	O	O

:	O	O

Hoon	O	O

Mohabbat	O	O

Se	O	O

Majboor	O	O

Warna	O	O

...	O	O

Tujhe	O	O

Yaad	O	O

Karna	O	O

Koi	O	O

Sawab	O	O

Thori	O	O

Hai	O	O

...!!	O	O

#UrduPoetry	O	O

		

NDA	B-ORGANISATION	O

govt's	O	O

redressal	O	O

mechanism	O	O

takes	O	O

the	O	O

social	O	O

media	O	O

route	O	O

https://t.co/hoZVeSaMOu	O	O

		

Mukul	B-PERSON	O

Kumar	I-PERSON	O

Hitesh	B-PERSON	O

Khatpalani	I-PERSON	O

Manish	B-PERSON	O

Barnwal	I-PERSON	O

see	O	O

this	O	O

..	O	O

https://t.co/P5JgmFryhs	O	O

		

I	O	O

liked	O	O

a	O	O

@YouTube	O	O

video	O	O

https://t.co/yexQUWZ3kp	O	O

Pazhaya	O	O

vannarapettai	O	O

|	O	O

Title	O	O

song	O	O

|	O	O

Pazhaya	O	B-PERSON

Vannarapettai	O	I-PERSON

		

Hum	O	O

#QuarterFinal	O	O

toh	O	O

Haar	O	O

Hi	O	O

Nahin	O	O

Sakte	O	O

Kyonki	O	O

Jahan	O	O

#Quarter	O	O

Mil	O	O

Jaye	O	O

toh	O	O

Hum	O	O

Usko	O	O

Final	O	O

Karke	O	O

Hi	O	O

Uthte	O	O

Hain	O	O

!	O	O

#INDvBAN	O	O

		

Mahashivratri	O	O

celebrations	O	O

at	O	O

my	O	O

native	O	O

place	O	O

pomendi	B-PLACE	O

along	O	O

with	O	O

Nandini	B-PERSON	B-PERSON

Vichare	I-PERSON	I-PERSON

,	O	O

Latisha	B-PERSON	O

Rajan	I-PERSON	B-PERSON

Vichare	I-PERSON	I-PERSON

,	O	O

Mandar	B-PERSON	B-PERSON

Vichare	I-PERSON	I-PERSON

,	O	O

Kalpesh	B-PERSON	O

Salvi	I-PERSON	O

		

Shree	O	O

Arvind	B-PERSON	O

#Kejriwal	O	O

Delhi	B-PLACE	O

se	O	O

Latur	B-PLACE	O

ko	O	O

apne	O	O

AAP	B-ORGANISATION	O

pani	O	O

bhejte	O	O

hue	O	O

....	O	O

https://t.co/8HTJLVhFlN	O	O

		

Dekha	O	O

ek	O	O

baar	O	O

bande	O	O

ko	O	O

visa	O	O

kya	O	O

nahi	O	O

diya	O	O

...	O	O

pura	O	O

gussa	O	O

abhi	O	O

PM	O	O

ban	O	O

ke	O	O

nikal	O	O

raha	O	O

hai	O	O

..	O	O

dekh	O	O

lena	O	O

pura	O	O

world	O	O

tour	O	O

5yrs	O	O

mein	O	O

hoga	O	O

Modi-Sharif	B-PERSON	O

		

Credit	O	O

goes	O	O

to	O	O

Rahul	B-PERSON	O

Dravid	I-PERSON	O

and	O	O

Zaheer	B-PERSON	B-PERSON

Khan	I-PERSON	I-PERSON

!	O	O

Do	O	O

you	O	O

agree	O	O

?	O	O

#DDvKKR	O	O

#WellDoneDelhiDaredevils	O	O

		

@nadia_760	O	O

@gracefulkiru	O	O

@neha822	O	O

@tonni263	O	O

Goon	O	O

noon	O	O

kudiyon	O	O

..	O	O

<3	O	O

:)	O	O

		

RT	O	O

@JasdeepInsan	O	O

:	O	O

@Gurmeetramrahim	O	O

#MSGappeals	O	O

thnku	O	O

papa	O	O

ji	O	O

for	O	O

ur	O	O

inspiration	O	O

to	O	O

make	O	O

us	O	O

better	O	O

citizen	O	O

of	O	O

our	O	O

country	O	O

		

RT	O	O

@SpokespersonMoD	O	O

:	O	O

IAF	B-ORGANISATION	O

in	O	O

action	O	O

over	O	O

Uttarakhand	B-PLACE	O

helping	O	O

local	O	O

authorities	O	O

in	O	O

controlling	O	O

forest	O	O

fires	O	O

.	O	O

https://t.co/YxDUrzBlQz	O	O

		

I	O	O

can	O	O

imagine	O	O

cricket	O	O

without	O	O

Sachin	B-PERSON	O

but	O	O

I	O	O

can't	O	O

imagine	O	O

Sachin	B-PERSON	O

without	O	O

cricket	O	O

-	O	O

Anjali	B-PERSON	B-PERSON

Tendulkar	I-PERSON	I-PERSON

#SachinTeaser	O	O

@SachinTheFilm	O	O

@sachin_rt	O	O

		

@sureshpprabhu	O	O

quoting	O	O

Shubhada	B-PERSON	B-PERSON

Gogate	I-PERSON	I-PERSON

in	O	O

#RailBudget2015	O	O

Go	O	O

#Marathi	O	O

literature	O	O

!!!	O	O

		

RT	O	O

@saloniradhainsa	O	O

:	O	O

@Gurmeetramrahim	O	O

#MustWatchMSG	O	O

PAPAJI	O	O

...	O	O

M	O	O

eagerlyyyyy	O	O

waiting	O	O

4	O	O

Ur	O	O

Tweet	O	O

...	O	O

Missing	O	O

U	O	O

...	O	O

bhtt	O	O

yaad	O	O

aa	O	O

rhi	O	O

h	O	O

JAANAPAPA	O	O

JI	O	O

		

Nitin	B-PERSON	O

Gadwari	I-PERSON	O

is	O	O

a	O	O

man	O	O

of	O	O

good	O	O

ideas	O	O

and	O	O

great	O	O

vision	O	O

.	O	O

		

RT	O	O

@saswat28	O	O

:	O	O

Famous	O	O

Shiva	B-PLACE	O

Temple	I-PLACE	O

of	O	O

Odisha	B-PLACE	B-PLACE

.	O	O

#MahaShivratri	O	O

